orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Office Building 102 Est,Real Estate,,250001,500000,0,Y,,
"",Office Building,Real Estate,,250001,500000,0,Y,,
"",".197 Acres of Land/LaGrange, VI",Real Estate,,1001,15000,0,Y,,
