congID;details;id;name;year
106;Illinois Democrat, District 12;N00004956;Costello, Jerry F;2000
106;California Republican, District 47;N00007124;Cox, Christopher;2000
106;Pennsylvania Democrat, District 14;N00001371;Coyne, William J;2000
106;Idaho Republican, Senate;N00002091;Craig, Larry;2000
106;Alabama Democrat, District 5;N00003042;Cramer, Bud;2000
106;Illinois Republican, District 8;N00004698;Crane, Phil;2000
106;Idaho Republican, Senate;N00006267;Crapo, Mike;2000
106;New York Democrat, District 7;N00001127;Crowley, Joseph;2000
106;Wyoming Republican, District 1;N00006242;Cubin, Barbara;2000
106;Maryland Democrat, District 7;N00001971;Cummings, Elijah E;2000
106;California Republican, District 51;N00007050;Cunningham, Randy (Duke);2000
106;Missouri Democrat, District 6;N00001784;Danner, Pat;2000
106;South Dakota Democrat, Senate;N00004583;Daschle, Tom;2000
106;Illinois Democrat, District 7;N00004884;Davis, Danny K;2000
106;Florida Democrat, District 11;N00002926;Davis, Jim;2000
106;Virginia Republican, District 11;N00002045;Davis, Tom;2000
106;Georgia Republican, District 9;N00002610;Deal, Nathan;2000
106;Oregon Democrat, District 4;N00007781;DeFazio, Peter;2000
106;Colorado Democrat, District 1;N00006134;DeGette, Diana;2000
106;Massachusetts Democrat, District 10;N00000280;Delahunt, Bill;2000
106;Connecticut Democrat, District 3;N00000615;DeLauro, Rosa L;2000
106;Texas Republican, District 22;N00005892;DeLay, Tom;2000
106;South Carolina Republican, District 4;N00002472;DeMint, Jim;2000
106;Florida Democrat, District 20;N00002839;Deutsch, Peter;2000
106;Ohio Republican, Senate;N00003709;DeWine, Mike;2000
106;Florida Republican, District 21;N00002872;Diaz-Balart, Lincoln;2000
106;Arkansas Republican, District 4;N00005442;Dickey, Jay;2000
106;Washington Democrat, District 6;N00007918;Dicks, Norm;2000
106;Michigan Democrat, District 16;N00001783;Dingell, John D;2000
106;Connecticut Democrat, Senate;N00000581;Dodd, Chris;2000
106;Texas Democrat, District 10;N00006023;Doggett, Lloyd;2000
106;New Mexico Republican, Senate;N00006515;Domenici, Pete V;2000
106;California Democrat, District 20;N00007251;Dooley, Cal;2000
106;California Republican, District 4;N00007556;Doolittle, John T;2000
106;North Dakota Democrat, Senate;N00004615;Dorgan, Byron L;2000
106;Pennsylvania Democrat, District 18;N00001373;Doyle, Mike;2000
106;California Republican, District 28;N00006932;Dreier, David;2000
106;Tennessee Republican, District 2;N00003209;Duncan, John J Jr;2000
106;Washington Republican, District 8;N00007823;Dunn, Jennifer;2000
106;Illinois Democrat, Senate;N00004981;Durbin, Dick;2000
106;Texas Democrat, District 11;N00005794;Edwards, Chet;2000
106;North Carolina Democrat, Senate;N00002283;Edwards, John;2000
106;Michigan Republican, District 3;N00004166;Ehlers, Vernon J;2000
106;Maryland Republican, District 2;N00001925;Ehrlich, Bob;2000
106;Missouri Republican, District 8;N00005090;Emerson, Jo Ann;2000
106;New York Democrat, District 17;N00001003;Engel, Eliot L;2000
106;Pennsylvania Republican, District 21;N00001427;English, Phil;2000
106;Wyoming Republican, Senate;N00006249;Enzi, Mike;2000
106;California Democrat, District 14;N00007335;Eshoo, Anna;2000
106;North Carolina Democrat, District 2;N00002269;Etheridge, Bob;2000
106;Illinois Democrat, District 17;N00004912;Evans, Lane;2000
106;Alabama Republican, District 2;N00003083;Everett, Terry;2000
106;Illinois Republican, District 15;N00004939;Ewing, Thomas W;2000
106;American Samoa Democrat, At Large;N00007632;Faleomavaega, Eni F H;2000
106;California Democrat, District 17;N00007312;Farr, Sam;2000
106;Pennsylvania Democrat, District 2;N00001746;Fattah, Chaka;2000
106;Wisconsin Democrat, Senate;N00000036;Feingold, Russ;2000
106;California Democrat, Senate;N00007364;Feinstein, Dianne;2000
106;California Democrat, District 50;N00007033;Filner, Bob;2000
106;Illinois Republican, Senate;N00004690;Fitzgerald, Peter G;2000
106;Kentucky Republican, District 6;N00003430;Fletcher, Ernie;2000
106;Florida Republican, District 16;N00002898;Foley, Mark;2000
106;New York Democrat, District 1;N00001182;Forbes, Michael P;2000
106;Tennessee Democrat, District 9;N00003218;Ford, Harold E Jr;2000
106;New York Republican, District 13;N00000983;Fossella, Vito;2000
106;Florida Republican, District 4;N00002718;Fowler, Tillie;2000
106;Massachusetts Democrat, District 4;N00000275;Frank, Barney;2000
106;New Jersey Republican, District 7;N00000810;Franks, Bob;2000
106;New Jersey Republican, District 11;N00000684;Frelinghuysen, Rodney;2000
106;Tennessee Republican, Senate;N00003147;Frist, Bill;2000
106;Texas Democrat, District 24;N00005677;Frost, Martin;2000
106;California Republican, District 23;N00007231;Gallegly, Elton;2000
106;Iowa Republican, District 4;N00004221;Ganske, Greg;2000
106;Connecticut Democrat, District 2;N00000585;Gejdenson, Sam;2000
106;Pennsylvania Republican, District 17;N00001447;Gekas, George W;2000
106;Missouri Democrat, District 3;N00005037;Gephardt, Richard A;2000
106;Nevada Republican, District 2;N00006652;Gibbons, Jim;2000
106;Maryland Republican, District 1;N00002012;Gilchrest, Wayne T;2000
106;Ohio Republican, District 5;N00003660;Gillmor, Paul E;2000
106;New York Republican, District 20;N00001049;Gilman, Benjamin A;2000
106;Texas Democrat, District 20;N00005960;Gonzalez, Charlie A;2000
106;Virginia Independent, District 5;N00002167;Goode, Virgil;2000
106;Virginia Republican, District 6;N00009154;Goodlatte, Bob;2000
106;Pennsylvania Republican, District 19;N00001451;Goodling, Bill;2000
106;Tennessee Democrat, District 6;N00003126;Gordon, Bart;2000
106;Washington Republican, Senate;N00007879;Gorton, Slade;2000
106;Florida Republican, District 14;N00002960;Goss, Porter;2000
106;Florida Democrat, Senate;N00002742;Graham, Bob;2000
106;South Carolina Republican, District 3;N00009975;Graham, Lindsey;2000
106;Texas Republican, Senate;N00005709;Gramm, Phil;2000
106;Minnesota Republican, Senate;N00004468;Grams, Rod;2000
106;Texas Republican, District 12;N00008799;Granger, Kay;2000
106;Iowa Republican, Senate;N00001758;Grassley, Chuck;2000
106;Texas Democrat, District 29;N00005870;Green, Gene;2000
106;Wisconsin Republican, District 8;N00004391;Green, Mark;2000
106;Pennsylvania Republican, District 8;N00001519;Greenwood, James C;2000
106;New Hampshire Republican, Senate;N00000444;Gregg, Judd;2000
106;Illinois Democrat, District 4;N00004874;Gutierrez, Luis V;2000
106;Minnesota Republican, District 1;N00004527;Gutknecht, Gil;2000
106;Nebraska Republican, Senate;N00005301;Hagel, Chuck;2000
