id;link;name;year
N00036633;https://www.opensecrets.org/members-of-congress/summary?cid=N00036633&cycle=2018;Abraham, Ralph;2018
N00035451;https://www.opensecrets.org/members-of-congress/summary?cid=N00035451&cycle=2018;Adams, Alma;2018
N00003028;https://www.opensecrets.org/members-of-congress/summary?cid=N00003028&cycle=2018;Aderholt, Robert B;2018
N00033997;https://www.opensecrets.org/members-of-congress/summary?cid=N00033997&cycle=2018;Aguilar, Pete;2018
N00009888;https://www.opensecrets.org/members-of-congress/summary?cid=N00009888&cycle=2018;Alexander, Lamar;2018
N00033720;https://www.opensecrets.org/members-of-congress/summary?cid=N00033720&cycle=2018;Allen, Richard W;2018
N00031938;https://www.opensecrets.org/members-of-congress/summary?cid=N00031938&cycle=2018;Amash, Justin;2018
N00031177;https://www.opensecrets.org/members-of-congress/summary?cid=N00031177&cycle=2018;Amodei, Mark;2018
N00038285;https://www.opensecrets.org/members-of-congress/summary?cid=N00038285&cycle=2018;Arrington, Jodey;2018
N00005736;https://www.opensecrets.org/members-of-congress/summary?cid=N00005736&cycle=2018;Babin, Brian;2018
N00037049;https://www.opensecrets.org/members-of-congress/summary?cid=N00037049&cycle=2018;Bacon, Donald John;2018
N00042194;https://www.opensecrets.org/members-of-congress/summary?cid=N00042194&cycle=2018;Balderson, Troy;2018
N00004367;https://www.opensecrets.org/members-of-congress/summary?cid=N00004367&cycle=2018;Baldwin, Tammy;2018
N00037185;https://www.opensecrets.org/members-of-congress/summary?cid=N00037185&cycle=2018;Banks, Jim;2018
N00025495;https://www.opensecrets.org/members-of-congress/summary?cid=N00025495&cycle=2018;Barletta, Lou;2018
N00031233;https://www.opensecrets.org/members-of-congress/summary?cid=N00031233&cycle=2018;Barr, Andy;2018
N00037019;https://www.opensecrets.org/members-of-congress/summary?cid=N00037019&cycle=2018;Barragan, Nanette;2018
N00006236;https://www.opensecrets.org/members-of-congress/summary?cid=N00006236&cycle=2018;Barrasso, John A;2018
N00005656;https://www.opensecrets.org/members-of-congress/summary?cid=N00005656&cycle=2018;Barton, Joe;2018
N00031877;https://www.opensecrets.org/members-of-congress/summary?cid=N00031877&cycle=2018;Bass, Karen;2018
N00033904;https://www.opensecrets.org/members-of-congress/summary?cid=N00033904&cycle=2018;Beatty, Joyce;2018
N00030608;https://www.opensecrets.org/members-of-congress/summary?cid=N00030608&cycle=2018;Bennet, Michael F;2018
N00030717;https://www.opensecrets.org/members-of-congress/summary?cid=N00030717&cycle=2018;Bera, Ami;2018
N00039533;https://www.opensecrets.org/members-of-congress/summary?cid=N00039533&cycle=2018;Bergman, John;2018
N00031559;https://www.opensecrets.org/members-of-congress/summary?cid=N00031559&cycle=2018;Beutler, Jaime Herrera;2018
N00036018;https://www.opensecrets.org/members-of-congress/summary?cid=N00036018&cycle=2018;Beyer, Don;2018
N00039293;https://www.opensecrets.org/members-of-congress/summary?cid=N00039293&cycle=2018;Biggs, Andy;2018
N00027462;https://www.opensecrets.org/members-of-congress/summary?cid=N00027462&cycle=2018;Bilirakis, Gus;2018
N00036449;https://www.opensecrets.org/members-of-congress/summary?cid=N00036449&cycle=2018;Bishop, Mike;2018
N00025292;https://www.opensecrets.org/members-of-congress/summary?cid=N00025292&cycle=2018;Bishop, Rob;2018
N00002674;https://www.opensecrets.org/members-of-congress/summary?cid=N00002674&cycle=2018;Bishop, Sanford;2018
N00031539;https://www.opensecrets.org/members-of-congress/summary?cid=N00031539&cycle=2018;Black, Diane;2018
N00003105;https://www.opensecrets.org/members-of-congress/summary?cid=N00003105&cycle=2018;Blackburn, Marsha;2018
N00033744;https://www.opensecrets.org/members-of-congress/summary?cid=N00033744&cycle=2018;Blum, Rod;2018
N00007727;https://www.opensecrets.org/members-of-congress/summary?cid=N00007727&cycle=2018;Blumenauer, Earl;2018
N00031685;https://www.opensecrets.org/members-of-congress/summary?cid=N00031685&cycle=2018;Blumenthal, Richard;2018
N00005195;https://www.opensecrets.org/members-of-congress/summary?cid=N00005195&cycle=2018;Blunt, Roy;2018
N00033474;https://www.opensecrets.org/members-of-congress/summary?cid=N00033474&cycle=2018;Bonamici, Suzanne;2018
N00035267;https://www.opensecrets.org/members-of-congress/summary?cid=N00035267&cycle=2018;Booker, Cory;2018
N00013873;https://www.opensecrets.org/members-of-congress/summary?cid=N00013873&cycle=2018;Boozman, John;2018
N00024866;https://www.opensecrets.org/members-of-congress/summary?cid=N00024866&cycle=2018;Bordallo, Madeleine Z;2018
N00035420;https://www.opensecrets.org/members-of-congress/summary?cid=N00035420&cycle=2018;Bost, Mike;2018
N00035307;https://www.opensecrets.org/members-of-congress/summary?cid=N00035307&cycle=2018;Boyle, Brendan;2018
N00005883;https://www.opensecrets.org/members-of-congress/summary?cid=N00005883&cycle=2018;Brady, Kevin;2018
