congID;details;id;name;year
116;Texas Democrat, District 32;N00040989;Colin Allred;2020
116;North Dakota Republican, District 1;N00042868;Kelly Armstrong;2020
116;Iowa Democrat, District 3;N00041104;Cindy Axne;2020
116;Indiana Republican, District 4;N00041954;Jim Baird;2020
116;Indiana Republican, Senate;N00041731;Mike Braun;2020
116;New York Democrat, District 22;N00041385;Anthony Brindisi;2020
116;Tennessee Republican, District 2;N00041594;Tim Burchett;2020
116;Hawaii Democrat, District 1;N00025882;Ed Case;2020
116;Illinois Democrat, District 6;N00041338;Sean Casten;2020
116;California Democrat, District 39;N00041464;Gil Cisneros;2020
116;Virginia Republican, District 6;N00042296;Ben Cline;2020
116;California Democrat, District 21;N00028122;TJ Cox;2020
116;Minnesota Democrat, District 2;N00037039;Angie Craig;2020
116;Texas Republican, District 2;N00042224;Dan Crenshaw;2020
116;Colorado Democrat, District 6;N00040876;Jason Crow;2020
116;South Carolina Democrat, District 1;N00041400;Joe Cunningham;2020
116;Kansas Democrat, District 3;N00042626;Sharice Davids;2020
116;Pennsylvania Democrat, District 4;N00042894;Madeleine Dean;2020
116;New York Democrat, District 19;N00040741;Antonio Delgado;2020
116;Texas Democrat, District 16;N00041702;Veronica Escobar;2020
116;Iowa Democrat, District 1;N00040888;Abby Finkenauer;2020
116;Texas Democrat, District 7;N00041194;Lizzie Fletcher;2020
116;Idaho Republican, District 1;N00041335;Russ Fulcher;2020
116;Illinois Democrat, District 4;N00042114;Jesus Garcia;2020
116;Texas Democrat, District 29;N00042282;Sylvia Garcia;2020
116;Maine Democrat, District 2;N00041668;Jared Golden;2020
116;Ohio Republican, District 16;N00041690;Anthony Gonzalez;2020
116;Texas Republican, District 5;N00042237;Lance Gooden;2020
116;Tennessee Republican, District 7;N00041873;Mark Green;2020
116;Mississippi Republican, District 3;N00042458;Michael Patrick Guest;2020
116;New Mexico Democrat, District 1;N00040933;Debra Haaland;2020
116;Minnesota Republican, District 1;N00031390;Jim Hagedorn;2020
116;California Democrat, District 10;N00040853;Josh Harder;2020
116;North Carolina Republican, District 9;N00035491;Mark Harris;2020
116;Missouri Republican, Senate;N00041620;Josh Hawley;2020
116;Connecticut Democrat, District 5;N00043421;Jahana Hayes;2020
116;Oklahoma Republican, District 1;N00040829;Kevin Hern;2020
116;California Democrat, District 25;N00040644;Katie Hill;2020
116;Oklahoma Democrat, District 5;N00041394;Kendra Horn;2020
116;Nevada Democrat, District 4;N00033638;Steven Horsford;2020
116;Pennsylvania Democrat, District 6;N00040949;Chrissy Houlahan;2020
116;South Dakota Republican, District 1;N00040559;Dusty Johnson;2020
116;Pennsylvania Republican, District 13;N00043242;John Joyce;2020
116;Pennsylvania Republican, District 12;N00044065;Fred Keller;2020
116;New Jersey Democrat, District 3;N00041370;Andy Kim;2020
116;Arizona Democrat, District 2;N00029260;Ann Kirkpatrick;2020
116;Nevada Democrat, District 3;N00037247;Susie Lee;2020
116;California Democrat, District 49;N00040667;Mike Levin;2020
116;Michigan Democrat, District 9;N00042149;Andy Levin;2020
116;Virginia Democrat, District 2;N00042293;Elaine Luria;2020
116;New Jersey Democrat, District 7;N00041843;Tom Malinowski;2020
116;Utah Democrat, District 4;N00042013;Ben McAdams;2020
116;Georgia Democrat, District 6;N00042813;Lucy McBath;2020
116;Pennsylvania Republican, District 9;N00029416;Dan Meuser;2020
116;West Virginia Republican, District 3;N00041542;Carol Miller;2020
116;New York Democrat, District 25;N00043207;Joseph D Morelle;2020
116;Florida Democrat, District 26;N00041561;Debbie Mucarsel-Powell;2020
116;Colorado Democrat, District 2;N00041080;Joseph Neguse;2020
116;New York Democrat, District 14;N00041162;Alexandria Ocasio-Cortez;2020
116;Minnesota Democrat, District 5;N00043581;Ilhan Omar;2020
116;New Hampshire Democrat, District 1;N00042161;Chris Pappas;2020
116;Indiana Republican, District 6;N00041956;Greg Pence;2020
116;Minnesota Democrat, District 3;N00041134;Dean Phillips;2020
116;California Democrat, District 45;N00040865;Katie Porter;2020
116;Massachusetts Democrat, District 7;N00042581;Ayanna Pressley;2020
116;Pennsylvania Republican, District 14;N00041871;Guy Reschenthaler;2020
116;Virginia Republican, District 5;N00043541;Denver Riggleman;2020
116;Utah Republican, Senate;N00000286;Mitt Romney;2020
116;New York Democrat, District 11;N00041588;Max Rose;2020
116;Tennessee Republican, District 6;N00041599;John Rose;2020
