id;link;name;year
N00035346;https://www.opensecrets.org/personal-finances/net-worth?cid=N00035346&year=2015;Buddy Carter (R-Ga);2015
N00035854;https://www.opensecrets.org/personal-finances/net-worth?cid=N00035854&year=2015;Curt Clawson (R-Fla);2015
N00033744;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033744&year=2015;Rod Blum (R-Iowa);2015
N00006424;https://www.opensecrets.org/personal-finances/net-worth?cid=N00006424&year=2015;John McCain (R-Ariz);2015
N00026160;https://www.opensecrets.org/personal-finances/net-worth?cid=N00026160&year=2015;Tom Price (R-Ga);2015
N00031647;https://www.opensecrets.org/personal-finances/net-worth?cid=N00031647&year=2015;Mike Kelly (R-Pa);2015
N00028073;https://www.opensecrets.org/personal-finances/net-worth?cid=N00028073&year=2015;John A Yarmuth (D-Ky);2015
N00031593;https://www.opensecrets.org/personal-finances/net-worth?cid=N00031593&year=2015;Jeff Denham (R-Calif);2015
N00009888;https://www.opensecrets.org/personal-finances/net-worth?cid=N00009888&year=2015;Lamar Alexander (R-Tenn);2015
N00030608;https://www.opensecrets.org/personal-finances/net-worth?cid=N00030608&year=2015;Michael F Bennet (D-Colo);2015
N00035187;https://www.opensecrets.org/personal-finances/net-worth?cid=N00035187&year=2015;Mike Rounds (R-SD);2015
N00030026;https://www.opensecrets.org/personal-finances/net-worth?cid=N00030026&year=2015;Blaine Luetkemeyer (R-Mo);2015
N00034416;https://www.opensecrets.org/personal-finances/net-worth?cid=N00034416&year=2015;Robert Pittenger (R-NC);2015
N00000615;https://www.opensecrets.org/personal-finances/net-worth?cid=N00000615&year=2015;Rosa L DeLauro (D-Conn);2015
N00008086;https://www.opensecrets.org/personal-finances/net-worth?cid=N00008086&year=2015;Dave Camp (R-Mich);2015
N00035688;https://www.opensecrets.org/personal-finances/net-worth?cid=N00035688&year=2015;Gwen Graham (D-Fla);2015
N00003682;https://www.opensecrets.org/personal-finances/net-worth?cid=N00003682&year=2015;Rob Portman (R-Ohio);2015
N00033054;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033054&year=2015;Steven Daines (R-Mont);2015
N00004291;https://www.opensecrets.org/personal-finances/net-worth?cid=N00004291&year=2015;F James Sensenbrenner Jr. (R-Wis);2015
N00007724;https://www.opensecrets.org/personal-finances/net-worth?cid=N00007724&year=2015;Ron Wyden (D-Ore);2015
N00026043;https://www.opensecrets.org/personal-finances/net-worth?cid=N00026043&year=2015;Randy Neugebauer (R-Texas);2015
N00034580;https://www.opensecrets.org/personal-finances/net-worth?cid=N00034580&year=2015;Angus King (I-Maine);2015
N00003845;https://www.opensecrets.org/personal-finances/net-worth?cid=N00003845&year=2015;Dan Coats (R-Ind);2015
N00029788;https://www.opensecrets.org/personal-finances/net-worth?cid=N00029788&year=2015;Cynthia Lummis (R-Wyo);2015
N00026631;https://www.opensecrets.org/personal-finances/net-worth?cid=N00026631&year=2015;Jeff Fortenberry (R-Neb);2015
N00036633;https://www.opensecrets.org/personal-finances/net-worth?cid=N00036633&year=2015;Ralph Abraham (R-La);2015
N00034584;https://www.opensecrets.org/personal-finances/net-worth?cid=N00034584&year=2015;Bruce Poliquin (R-Maine);2015
N00026041;https://www.opensecrets.org/personal-finances/net-worth?cid=N00026041&year=2015;Mike Conaway (R-Texas);2015
N00003328;https://www.opensecrets.org/personal-finances/net-worth?cid=N00003328&year=2015;Thad Cochran (R-Miss);2015
N00009920;https://www.opensecrets.org/personal-finances/net-worth?cid=N00009920&year=2015;Richard C Shelby (R-Ala);2015
N00031681;https://www.opensecrets.org/personal-finances/net-worth?cid=N00031681&year=2015;David McKinley (R-WVa);2015
N00029649;https://www.opensecrets.org/personal-finances/net-worth?cid=N00029649&year=2015;Jackie Speier (D-Calif);2015
N00028961;https://www.opensecrets.org/personal-finances/net-worth?cid=N00028961&year=2015;Jim Gilmore (R-Va);2015
N00033540;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033540&year=2015;Beto O'Rourke (D-Texas);2015
N00031820;https://www.opensecrets.org/personal-finances/net-worth?cid=N00031820&year=2015;Chris Coons (D-Del);2015
