orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",New York Asset Strategy Fund,,Mutual Fund,15001,50000,0,Y,,
"",First Eagle Overseas Fund,,Mutual Fund,15001,50000,0,Y,,
"",AMG Yacktman Focused,,Mutual Fund,15001,50000,0,Y,,
"",Templeton Global Bond Fund,,Government Bond,1001,15000,0,Y,,
"",Schwab Advantage Cash Reserve,,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",PIMCO Total Return Fund,,Mutual Fund,1001,15000,0,Y,,
"",Pimco All Asset Fund,,Mutual Fund,1001,15000,0,Y,,
"",Permanent Portfolion,,Unknown,1001,15000,0,Y,,
